"participantId","householdSize","haveKids","age","educationLevel","interestGroup","joviality","Education","Food","Recreation","Shelter","Wage","RentAdjustment","Cost_of_living","Total_Income","Total_Savings"
0,"3",TRUE,36,"HighSchoolOrCollege","H",0.001626703,-494.06993415,-3141.97618211,-4384.067186328,-7214.8520821,109816.588287085,0,-15234.965384688,109816.588287085,94581.6229023967
1,"3",TRUE,25,"HighSchoolOrCollege","B",0.3280865,-494.06993415,-3167.335836042,-6637.510667452,-7214.8520821,96374.928792451,0,-17513.768519744,96374.928792451,78861.160272707
2,"3",TRUE,35,"HighSchoolOrCollege","A",0.39346959,-166.56178526,-3467.3143937,-4172.006095098,-7235.1880536,85107.5209945471,0,-15041.070327658,85107.5209945471,70066.4506668891
3,"3",TRUE,21,"HighSchoolOrCollege","I",0.138063446,-494.06993415,-3395.537115167,-4704.287586282,-7214.8520821,82269.3335194513,0,-15808.746717699,82269.3335194513,66460.5868017523
4,"3",TRUE,43,"Bachelors","H",0.857396691,-166.56178526,-3262.335916826,-6315.909986025,-18410.4623915,106055.170083221,4809.28342675,-28155.270079611,110864.453509971,82709.1834303602
5,"3",TRUE,32,"HighSchoolOrCollege","D",0.772957791,-166.56178526,-4145.111047634,-5139.370203555,-7800.4371211,23208.9207402,0,-17251.480157549,23208.9207402,5957.440582651
6,"3",TRUE,26,"HighSchoolOrCollege","I",0.833980668,-166.56178526,-3820.36222873,-7568.917969827,-7555.4958583,23407.3655800394,0,-19111.337842117,23407.3655800394,4296.0277379224
7,"3",TRUE,27,"Bachelors","A",0.958189409,-166.56178526,-6062.510120943,-5774.145122208,-13171.625311,72877.21546591,0,-25174.842339411,72877.21546591,47702.373126499
8,"3",TRUE,20,"Bachelors","G",0.697554819,-166.56178526,-5961.372045164,-5306.191289828,-15335.195538,44545.458353191,0,-26769.320658252,44545.458353191,17776.137694939
9,"3",TRUE,35,"Bachelors","D",0.467131409,-1184.86568005,-3430.429104173,-4506.113783549,-7254.0296894,152575.189048021,0,-16375.438257172,152575.189048021,136199.750790849
10,"3",TRUE,48,"HighSchoolOrCollege","D",0.557176006,-166.56178526,-4741.140915041,-3088.036644041,-7291.712961,79303.81770584,0,-15287.452305342,79303.81770584,64016.365400498
11,"3",TRUE,27,"HighSchoolOrCollege","F",0.25422732,-951.57207795,-3437.423682993,-5037.1992422,-7230.2421243,80532.4276216256,0,-16656.437127443,80532.4276216256,63875.9904941826
12,"3",TRUE,34,"HighSchoolOrCollege","D",0.241615182,-494.06993415,-3232.886851386,-6649.749597674,-7239.4761504,76647.492525317,0,-17616.18253361,76647.492525317,59031.309991707
13,"3",TRUE,18,"Bachelors","J",0.724503834,-166.56178526,-5450.628848026,-6328.859315233,-16920.330765,70033.34441596,0,-28866.380713519,70033.34441596,41166.963702441
14,"3",TRUE,38,"Graduate","H",0.930003289,-166.56178526,-5223.859073047,-5088.610876781,-14764.583613,87216.1088055,0,-25243.615348088,87216.1088055,61972.493457412
15,"3",TRUE,35,"HighSchoolOrCollege","I",0.232266068,-494.06993415,-3114.924982096,-4573.569242527,-7264.1002187,75558.06038002,0,-15446.664377473,75558.06038002,60111.396002547
16,"3",TRUE,39,"Bachelors","J",0.392189088,-166.56178526,-3257.890609518,-4236.068366618,-7310.5545968,117273.19603909,0,-14971.075358196,117273.19603909,102302.120680894
17,"3",TRUE,57,"Bachelors","I",0.114667399,-494.06993415,-3605.972740279,-4776.787902528,-7264.1002187,211439.1539326,0,-16140.930795657,211439.1539326,195298.223136943
18,"3",TRUE,20,"Graduate","I",0.32696558,-1184.86568005,-3460.915131949,-5105.232922936,-7275.0827851,211734.6463852,0,-17026.096520035,211734.6463852,194708.549865165
19,"3",TRUE,25,"Bachelors","B",0.486470164,-166.56178526,-4892.155848304,-5953.99788731,-7423.6044103,108870.280715716,0,-18436.319931174,108870.280715716,90433.960784542
20,"3",TRUE,41,"HighSchoolOrCollege","I",0.619057739,-166.56178526,-4158.768473382,-5026.678336517,-7461.2876806,71742.4175766536,0,-16813.296275759,71742.4175766536,54929.1213008946
21,"3",TRUE,35,"Low","E",0.931240975,-166.56178526,-4099.014835354,-8691.760696182,-8949.7768893,29316.6482721722,0,-21907.114206096,29316.6482721722,7409.5340660762
